run_id,task,level,variant,n_demos,dataset_id,slurm_jobid,status,sr_40k,sr_60k,sr_80k,sr_best,eval_set,eval_n,gpu_h,notes
t1_L0_n100_s0,cup_place,L0,-,100,local/L0,53008625,done,,,1.0,1.0,L0,100,1.93,"launched by launch_matrix.py | eval 080000 only (D24); 100/100 successes; Wilson95 [0.963,1.000]; num_inference_steps=10; sep_rgb_encoder_per_camera=true (D26)"
t1_L0_n200_s0,cup_place,L0,-,200,local/L0,53008638,done,,,1.0,1.0,L0,100,1.9,"launched by launch_matrix.py | eval 080000 only (D24); 100/100 successes; Wilson95 [0.963,1.000]; num_inference_steps=10; sep_rgb_encoder_per_camera=true (D26)"
t1_L0_n400_s0,cup_place,L0,-,400,local/L0,53008644,done,,,0.99,0.99,L0,100,1.84,"launched by launch_matrix.py | eval 080000 only (D24); 99/100 successes; Wilson95 [0.946,0.998]; num_inference_steps=10; sep_rgb_encoder_per_camera=true (D26)"
t1_L1_n10_s0,cup_place,L1,-,10,local/L1,53008651,done,,,0.42,0.42,L1,100,2.83,"launched by launch_matrix.py | eval 080000 only (D24); 42/100 successes; Wilson95 [0.328,0.518]; num_inference_steps=10; sep_rgb_encoder_per_camera=true (D26)"
t1_L1_n25_s0,cup_place,L1,-,25,local/L1,53008655,done,,,0.67,0.67,L1,100,2.15,"launched by launch_matrix.py | eval 080000 only (D24); 67/100 successes; Wilson95 [0.573,0.754]; num_inference_steps=10; sep_rgb_encoder_per_camera=true (D26)"
t1_L1_n50_s0,cup_place,L1,-,50,local/L1,53008663,done,,,0.83,0.83,L1,100,1.96,"launched by launch_matrix.py | eval 080000 only (D24); 83/100 successes; Wilson95 [0.745,0.891]; num_inference_steps=10; sep_rgb_encoder_per_camera=true (D26)"
t1_L1_n100_s0,cup_place,L1,-,100,local/L1,53008669,done,,,0.86,0.86,L1,100,1.92,"launched by launch_matrix.py | eval 080000 only (D24); 86/100 successes; Wilson95 [0.779,0.915]; num_inference_steps=10; sep_rgb_encoder_per_camera=true (D26)"
t1_L1_n200_s0,cup_place,L1,-,200,local/L1,53008677,done,,,0.98,0.98,L1,100,1.92,"launched by launch_matrix.py | eval 080000 only (D24); 98/100 successes; Wilson95 [0.930,0.994]; num_inference_steps=10; sep_rgb_encoder_per_camera=true (D26)"
t1_L1_n400_s0,cup_place,L1,-,400,local/L1,53008685,done,,,0.99,0.99,L1,100,2.57,"launched by launch_matrix.py | eval 080000 only (D24); 99/100 successes; Wilson95 [0.946,0.998]; num_inference_steps=10; sep_rgb_encoder_per_camera=true (D26)"
t1_L2_n10_s0,cup_place,L2,-,10,local/L2,53008693,done,,,0.31,0.31,L2,100,2.79,"launched by launch_matrix.py | eval 080000 only (D24); 31/100 successes; Wilson95 [0.228,0.406]; num_inference_steps=10; sep_rgb_encoder_per_camera=true (D26)"
t1_L2_n25_s0,cup_place,L2,-,25,local/L2,53008698,done,,,0.6,0.6,L2,100,2.16,"launched by launch_matrix.py | eval 080000 only (D24); 60/100 successes; Wilson95 [0.502,0.691]; num_inference_steps=10; sep_rgb_encoder_per_camera=true (D26)"
t1_L2_n50_s0,cup_place,L2,-,50,local/L2,53008705,done,,,0.75,0.75,L2,100,2.04,"launched by launch_matrix.py | eval 080000 only (D24); 75/100 successes; Wilson95 [0.657,0.825]; num_inference_steps=10; sep_rgb_encoder_per_camera=true (D26)"
t1_L2_n100_s0,cup_place,L2,-,100,local/L2,53008717,done,,,0.82,0.82,L2,100,2.09,"launched by launch_matrix.py | eval 080000 only (D24); 82/100 successes; Wilson95 [0.733,0.883]; num_inference_steps=10; sep_rgb_encoder_per_camera=true (D26)"
t1_L2_n200_s0,cup_place,L2,-,200,local/L2,53008721,done,,,0.98,0.98,L2,100,1.95,"launched by launch_matrix.py | eval 080000 only (D24); 98/100 successes; Wilson95 [0.930,0.994]; num_inference_steps=10; sep_rgb_encoder_per_camera=true (D26)"
t1_L2_n400_s0,cup_place,L2,-,400,local/L2,53008749,done,,,1.0,1.0,L2,100,1.86,"launched by launch_matrix.py | eval 080000 only (D24); 100/100 successes; Wilson95 [0.963,1.000]; num_inference_steps=10; sep_rgb_encoder_per_camera=true (D26)"
t1_L3_n10_s0,cup_place,L3,-,10,local/L3,53008754,done,,,0.03,0.03,L3,200,2.72,"launched by launch_matrix.py | eval 080000 only (D24); 6/200 successes; Wilson95 [0.014,0.064]; num_inference_steps=10; sep_rgb_encoder_per_camera=true (D26)"
t1_L3_n25_s0,cup_place,L3,-,25,local/L3,53008787,done,,,0.15,0.15,L3,200,2.15,"launched by launch_matrix.py | eval 080000 only (D24); 30/200 successes; Wilson95 [0.107,0.206]; num_inference_steps=10; sep_rgb_encoder_per_camera=true (D26)"
t1_L3_n50_s0,cup_place,L3,-,50,local/L3,53008793,done,,,0.48,0.48,L3,200,1.97,"launched by launch_matrix.py | eval 080000 only (D24); 96/200 successes; Wilson95 [0.412,0.549]; num_inference_steps=10; sep_rgb_encoder_per_camera=true (D26)"
t1_L3_n100_s0,cup_place,L3,-,100,local/L3,53008835,done,,,0.47,0.47,L3,200,2.03,"launched by launch_matrix.py | eval 080000 only (D24); 94/200 successes; Wilson95 [0.402,0.539]; num_inference_steps=10; sep_rgb_encoder_per_camera=true (D26)"
t1_L3_n200_s0,cup_place,L3,-,200,local/L3,53008870,done,,,0.53,0.53,L3,200,1.99,"launched by launch_matrix.py | eval 080000 only (D24); 106/200 successes; Wilson95 [0.461,0.598]; num_inference_steps=10; sep_rgb_encoder_per_camera=true (D26)"
t1_L3_n400_s0,cup_place,L3,-,400,local/L3,53008873,done,,,0.445,0.445,L3,200,1.89,"launched by launch_matrix.py | eval 080000 only (D24); 89/200 successes; Wilson95 [0.378,0.514]; num_inference_steps=10; sep_rgb_encoder_per_camera=true (D26)"
t2_L0_n10_s0,drawer_stow,L0,-,10,local/T2_L0,53195342,done,,,0.65,0.65,L0,100,2.06,"launched by launch_matrix.py | eval 080000 only (D24); 65/100 successes; Wilson95 [0.553,0.736]; num_inference_steps=10; sep_rgb_encoder_per_camera=true (D26)"
t2_L0_n25_s0,drawer_stow,L0,-,25,local/T2_L0,53195344,done,,,0.93,0.93,L0,100,1.92,"launched by launch_matrix.py | eval 080000 only (D24); 93/100 successes; Wilson95 [0.863,0.966]; num_inference_steps=10; sep_rgb_encoder_per_camera=true (D26)"
t2_L0_n50_s0,drawer_stow,L0,-,50,local/T2_L0,53195345,done,,,0.94,0.94,L0,100,1.95,"launched by launch_matrix.py | eval 080000 only (D24); 94/100 successes; Wilson95 [0.875,0.972]; num_inference_steps=10; sep_rgb_encoder_per_camera=true (D26)"
t2_L0_n100_s0,drawer_stow,L0,-,100,local/T2_L0,53195346,done,,,0.9,0.9,L0,100,2.18,"launched by launch_matrix.py | eval 080000 only (D24); 90/100 successes; Wilson95 [0.826,0.945]; num_inference_steps=10; sep_rgb_encoder_per_camera=true (D26)"
t2_L0_n200_s0,drawer_stow,L0,-,200,local/T2_L0,53195348,submitted,,,,,L0,,2.01,launched by launch_matrix.py
t2_L0_n400_s0,drawer_stow,L0,-,400,local/T2_L0,53195349,submitted,,,,,L0,,2.27,launched by launch_matrix.py
t2_L1_n10_s0,drawer_stow,L1,-,10,local/T2_L1,53195350,submitted,,,,,L1,,2.05,launched by launch_matrix.py
t2_L1_n25_s0,drawer_stow,L1,-,25,local/T2_L1,53195351,submitted,,,,,L1,,1.92,launched by launch_matrix.py
t2_L1_n50_s0,drawer_stow,L1,-,50,local/T2_L1,53195352,submitted,,,,,L1,,1.92,launched by launch_matrix.py
t2_L1_n100_s0,drawer_stow,L1,-,100,local/T2_L1,53195354,submitted,,,,,L1,,1.9,launched by launch_matrix.py
t2_L1_n200_s0,drawer_stow,L1,-,200,local/T2_L1,53195355,submitted,,,,,L1,,2.15,launched by launch_matrix.py
t2_L1_n400_s0,drawer_stow,L1,-,400,local/T2_L1,53195357,submitted,,,,,L1,,2.11,launched by launch_matrix.py
t2_L2_n10_s0,drawer_stow,L2,-,10,local/T2_L2,53195358,submitted,,,,,L2,,2.03,launched by launch_matrix.py
t2_L2_n25_s0,drawer_stow,L2,-,25,local/T2_L2,53195359,submitted,,,,,L2,,1.91,launched by launch_matrix.py
t2_L2_n50_s0,drawer_stow,L2,-,50,local/T2_L2,53195360,submitted,,,,,L2,,1.91,launched by launch_matrix.py
t2_L2_n100_s0,drawer_stow,L2,-,100,local/T2_L2,53195361,submitted,,,,,L2,,2.17,launched by launch_matrix.py
t2_L2_n200_s0,drawer_stow,L2,-,200,local/T2_L2,53195362,submitted,,,,,L2,,2.22,launched by launch_matrix.py
t2_L2_n400_s0,drawer_stow,L2,-,400,local/T2_L2,53195363,submitted,,,,,L2,,2.1,launched by launch_matrix.py
t2_L3_n10_s0,drawer_stow,L3,-,10,local/T2_L3,53195364,superseded,,,,,L3,,1.11,launched by launch_matrix.py | cancelled 2026-08-20: trained on the ~9x pose-redundant L3 dataset (D27) and would need the pre-D28 object palette to evaluate; superseded by the L3b arm
t2_L3_n25_s0,drawer_stow,L3,-,25,local/T2_L3,53195365,superseded,,,,,L3,,1.11,launched by launch_matrix.py | cancelled 2026-08-20: trained on the ~9x pose-redundant L3 dataset (D27) and would need the pre-D28 object palette to evaluate; superseded by the L3b arm
t2_L3_n50_s0,drawer_stow,L3,-,50,local/T2_L3,53195366,superseded,,,,,L3,,1.11,launched by launch_matrix.py | cancelled 2026-08-20: trained on the ~9x pose-redundant L3 dataset (D27) and would need the pre-D28 object palette to evaluate; superseded by the L3b arm
t2_L3_n100_s0,drawer_stow,L3,-,100,local/T2_L3,53195367,superseded,,,,,L3,,1.11,launched by launch_matrix.py | cancelled 2026-08-20: trained on the ~9x pose-redundant L3 dataset (D27) and would need the pre-D28 object palette to evaluate; superseded by the L3b arm
t2_L3_n200_s0,drawer_stow,L3,-,200,local/T2_L3,53195368,superseded,,,,,L3,,1.11,launched by launch_matrix.py | cancelled 2026-08-20: trained on the ~9x pose-redundant L3 dataset (D27) and would need the pre-D28 object palette to evaluate; superseded by the L3b arm
t2_L3_n400_s0,drawer_stow,L3,-,400,local/T2_L3,53195369,superseded,,,,,L3,,1.11,launched by launch_matrix.py | cancelled 2026-08-20: trained on the ~9x pose-redundant L3 dataset (D27) and would need the pre-D28 object palette to evaluate; superseded by the L3b arm
t3_L0_n10_s0,push_target,L0,-,10,local/T3_L0,53195370,submitted,,,,,L0,,2.34,launched by launch_matrix.py
t3_L0_n25_s0,push_target,L0,-,25,local/T3_L0,53195371,submitted,,,,,L0,,6.08,launched by launch_matrix.py
t3_L0_n50_s0,push_target,L0,-,50,local/T3_L0,53195372,submitted,,,,,L0,,5.93,launched by launch_matrix.py
t3_L0_n100_s0,push_target,L0,-,100,local/T3_L0,53195373,submitted,,,,,L0,,2.05,launched by launch_matrix.py
t3_L0_n200_s0,push_target,L0,-,200,local/T3_L0,53195375,submitted,,,,,L0,,1.98,launched by launch_matrix.py
t3_L0_n400_s0,push_target,L0,-,400,local/T3_L0,53195376,submitted,,,,,L0,,2.14,launched by launch_matrix.py
t3_L1_n10_s0,push_target,L1,-,10,local/T3_L1,53195378,submitted,,,,,L1,,2.25,launched by launch_matrix.py
t3_L1_n25_s0,push_target,L1,-,25,local/T3_L1,53195380,submitted,,,,,L1,,2.0,launched by launch_matrix.py
t3_L1_n50_s0,push_target,L1,-,50,local/T3_L1,53195381,submitted,,,,,L1,,2.01,launched by launch_matrix.py
t3_L1_n100_s0,push_target,L1,-,100,local/T3_L1,53195382,submitted,,,,,L1,,1.92,launched by launch_matrix.py
t3_L1_n200_s0,push_target,L1,-,200,local/T3_L1,53195383,submitted,,,,,L1,,1.99,launched by launch_matrix.py
t3_L1_n400_s0,push_target,L1,-,400,local/T3_L1,53195384,submitted,,,,,L1,,2.04,launched by launch_matrix.py
t3_L2_n10_s0,push_target,L2,-,10,local/T3_L2,53195385,submitted,,,,,L2,,2.31,launched by launch_matrix.py
t3_L2_n25_s0,push_target,L2,-,25,local/T3_L2,53195386,submitted,,,,,L2,,2.07,launched by launch_matrix.py
t3_L2_n50_s0,push_target,L2,-,50,local/T3_L2,53195387,submitted,,,,,L2,,1.91,launched by launch_matrix.py
t3_L2_n100_s0,push_target,L2,-,100,local/T3_L2,53195388,submitted,,,,,L2,,1.95,launched by launch_matrix.py
t3_L2_n200_s0,push_target,L2,-,200,local/T3_L2,53195389,submitted,,,,,L2,,2.12,launched by launch_matrix.py
t3_L2_n400_s0,push_target,L2,-,400,local/T3_L2,53195390,submitted,,,,,L2,,2.17,launched by launch_matrix.py
t3_L3_n10_s0,push_target,L3,-,10,local/T3_L3,53195391,superseded,,,,,L3,,1.1,launched by launch_matrix.py | cancelled 2026-08-20: trained on the ~9x pose-redundant L3 dataset (D27) and would need the pre-D28 object palette to evaluate; superseded by the L3b arm
t3_L3_n25_s0,push_target,L3,-,25,local/T3_L3,53195392,superseded,,,,,L3,,1.1,launched by launch_matrix.py | cancelled 2026-08-20: trained on the ~9x pose-redundant L3 dataset (D27) and would need the pre-D28 object palette to evaluate; superseded by the L3b arm
t3_L3_n50_s0,push_target,L3,-,50,local/T3_L3,53195393,superseded,,,,,L3,,1.1,launched by launch_matrix.py | cancelled 2026-08-20: trained on the ~9x pose-redundant L3 dataset (D27) and would need the pre-D28 object palette to evaluate; superseded by the L3b arm
t3_L3_n100_s0,push_target,L3,-,100,local/T3_L3,53195394,superseded,,,,,L3,,1.1,launched by launch_matrix.py | cancelled 2026-08-20: trained on the ~9x pose-redundant L3 dataset (D27) and would need the pre-D28 object palette to evaluate; superseded by the L3b arm
t3_L3_n200_s0,push_target,L3,-,200,local/T3_L3,53195395,superseded,,,,,L3,,1.1,launched by launch_matrix.py | cancelled 2026-08-20: trained on the ~9x pose-redundant L3 dataset (D27) and would need the pre-D28 object palette to evaluate; superseded by the L3b arm
t3_L3_n400_s0,push_target,L3,-,400,local/T3_L3,53195396,superseded,,,,,L3,,1.1,launched by launch_matrix.py | cancelled 2026-08-20: trained on the ~9x pose-redundant L3 dataset (D27) and would need the pre-D28 object palette to evaluate; superseded by the L3b arm
t1_L3b_n10_s0,cup_place,L3b,-,10,local/L3b,53209136,done,,,0.09,0.09,L3b,200,2.71,"launched by launch_matrix.py | eval 080000 only (D24); 18/200 successes; Wilson95 [0.058,0.138]; num_inference_steps=10; sep_rgb_encoder_per_camera=true (D26)"
t1_L3b_n25_s0,cup_place,L3b,-,25,local/L3b,53209138,done,,,0.235,0.235,L3b,200,2.17,"launched by launch_matrix.py | eval 080000 only (D24); 47/200 successes; Wilson95 [0.182,0.298]; num_inference_steps=10; sep_rgb_encoder_per_camera=true (D26)"
t1_L3b_n50_s0,cup_place,L3b,-,50,local/L3b,53209141,done,,,0.465,0.465,L3b,200,1.96,"launched by launch_matrix.py | eval 080000 only (D24); 93/200 successes; Wilson95 [0.397,0.534]; num_inference_steps=10; sep_rgb_encoder_per_camera=true (D26)"
t1_L3b_n100_s0,cup_place,L3b,-,100,local/L3b,53209144,done,,,0.7,0.7,L3b,200,1.89,"launched by launch_matrix.py | eval 080000 only (D24); 140/200 successes; Wilson95 [0.633,0.759]; num_inference_steps=10; sep_rgb_encoder_per_camera=true (D26)"
t1_L3b_n200_s0,cup_place,L3b,-,200,local/L3b,53209145,submitted,,,,,L3b,,1.86,launched by launch_matrix.py
t1_L3b_n400_s0,cup_place,L3b,-,400,local/L3b,53209147,submitted,,,,,L3b,,1.87,launched by launch_matrix.py
t3_L3b_n10_s0,push_target,L3b,-,10,local/T3_L3b,53216337,submitted,,,,,L3b,,2.31,launched by launch_matrix.py
t3_L3b_n25_s0,push_target,L3b,-,25,local/T3_L3b,53216338,submitted,,,,,L3b,,2.07,launched by launch_matrix.py
t3_L3b_n50_s0,push_target,L3b,-,50,local/T3_L3b,53216339,submitted,,,,,L3b,,1.99,launched by launch_matrix.py
t3_L3b_n100_s0,push_target,L3b,-,100,local/T3_L3b,53216340,submitted,,,,,L3b,,1.93,launched by launch_matrix.py
t3_L3b_n200_s0,push_target,L3b,-,200,local/T3_L3b,53216341,submitted,,,,,L3b,,1.99,launched by launch_matrix.py
t3_L3b_n400_s0,push_target,L3b,-,400,local/T3_L3b,53216342,submitted,,,,,L3b,,1.94,launched by launch_matrix.py
